year,champion,signal,label_en,label_zh,lookback_years,candidate_pool,qualified_candidate_pool,qualified_pool_size,participants,champion_hit,random_hit_probability
1938,Italy,previous_top4,Previous top four,上届四强,1934,Austria;Czechoslovakia;Germany;Italy,Czechoslovakia;Germany;Italy,3,15,1,0.2
1938,Italy,previous_top8,Previous top eight,上届八强/争冠阶段,1934,Austria;Czechoslovakia;Germany;Hungary;Italy;Spain;Sweden;Switzerland,Czechoslovakia;Germany;Hungary;Italy;Sweden;Switzerland,6,15,1,0.4
1938,Italy,two_straight_top4,Two straight top fours,连续两届四强,1930;1934,,,0,15,0,0.0
1938,Italy,two_straight_top8,Two straight top eights,连续两届八强/争冠阶段,1930;1934,,,0,15,0,0.0
1954,Germany,previous_top4,Previous top four,上届四强,1938,Brazil;Hungary;Italy;Sweden,Brazil;Hungary;Italy,3,16,0,0.1875
1954,Germany,previous_top8,Previous top eight,上届八强/争冠阶段,1938,Brazil;Cuba;Czechoslovakia;France;Hungary;Italy;Sweden;Switzerland,Brazil;Czechoslovakia;France;Hungary;Italy;Switzerland,6,16,0,0.375
1954,Germany,two_straight_top4,Two straight top fours,连续两届四强,1934;1938,Italy,Italy,1,16,0,0.0625
1954,Germany,two_straight_top8,Two straight top eights,连续两届八强/争冠阶段,1934;1938,Czechoslovakia;Hungary;Italy;Sweden;Switzerland,Czechoslovakia;Hungary;Italy;Switzerland,4,16,0,0.25
1958,Brazil,previous_top4,Previous top four,上届四强,1954,Austria;Germany;Hungary;Uruguay,Austria;Germany;Hungary,3,16,0,0.1875
1958,Brazil,previous_top8,Previous top eight,上届八强/争冠阶段,1954,Austria;Brazil;England;Germany;Hungary;Switzerland;Uruguay;Yugoslavia,Austria;Brazil;England;Germany;Hungary;Yugoslavia,6,16,1,0.375
1958,Brazil,two_straight_top4,Two straight top fours,连续两届四强,1938;1954,Hungary,Hungary,1,16,0,0.0625
1958,Brazil,two_straight_top8,Two straight top eights,连续两届八强/争冠阶段,1938;1954,Brazil;Hungary;Switzerland,Brazil;Hungary,2,16,1,0.125
1962,Brazil,previous_top4,Previous top four,上届四强,1958,Brazil;France;Germany;Sweden,Brazil;Germany,2,16,1,0.125
